DATE,Value,Value_diff1,Value_diff1_seasonal,Month
1985-01-01,72.5052,,,1
1985-02-01,70.672,-1.833200000000005,,2
1985-03-01,62.4502,-8.221799999999995,,3
1985-04-01,57.4714,-4.9788,,4
1985-05-01,55.3151,-2.1563000000000017,,5
1985-06-01,58.0904,2.7753000000000014,,6
1985-07-01,62.6202,4.5297999999999945,,7
1985-08-01,63.2485,0.628300000000003,,8
1985-09-01,60.5846,-2.663899999999998,,9
1985-10-01,56.3154,-4.269200000000005,,10
1985-11-01,58.0005,1.6851000000000056,,11
1985-12-01,68.7145,10.713999999999999,,12
1986-01-01,73.3057,4.591200000000001,,1
1986-02-01,67.9869,-5.318799999999996,-3.485599999999991,2
1986-03-01,62.2221,-5.764800000000008,2.4569999999999865,3
1986-04-01,57.0329,-5.1892,-0.21039999999999992,4
1986-05-01,55.8137,-1.2192000000000007,0.9371000000000009,5
1986-06-01,59.9005,4.086800000000004,1.3115000000000023,6
1986-07-01,65.7655,5.865000000000002,1.3352000000000075,7
1986-08-01,64.4816,-1.2839000000000027,-1.9122000000000057,8
1986-09-01,61.0005,-3.481099999999998,-0.8171999999999997,9
1986-10-01,57.5322,-3.4682999999999993,0.8009000000000057,10
1986-11-01,59.3417,1.8094999999999999,0.12439999999999429,11
1986-12-01,68.1354,8.793700000000001,-1.9202999999999975,12
1987-01-01,73.8152,5.6798,1.0885999999999996,1
1987-02-01,70.062,-3.7532000000000068,1.5655999999999892,2
1987-03-01,65.61,-4.451999999999998,1.31280000000001,3
1987-04-01,60.1586,-5.4514,-0.2622,4
1987-05-01,58.8734,-1.2852000000000032,-0.0660000000000025,5
1987-06-01,63.8918,5.018400000000007,0.9316000000000031,6
1987-07-01,68.8694,4.977599999999995,-0.8874000000000066,7
1987-08-01,70.0669,1.1975000000000051,2.481400000000008,8
1987-09-01,64.1151,-5.951800000000006,-2.470700000000008,9
1987-10-01,60.3789,-3.7361999999999966,-0.26789999999999736,10
1987-11-01,62.4643,2.0854,0.27590000000000003,11
1987-12-01,70.5777,8.113399999999992,-0.6803000000000097,12
1988-01-01,79.8703,9.292600000000007,3.612800000000007,1
1988-02-01,76.1622,-3.7081000000000017,0.045100000000005025,2
1988-03-01,70.2928,-5.869399999999999,-1.4174000000000007,3
1988-04-01,63.2384,-7.054400000000001,-1.6030000000000015,4
1988-05-01,61.4065,-1.8318999999999974,-0.5466999999999942,5
1988-06-01,67.1097,5.7032000000000025,0.6847999999999956,6
1988-07-01,72.9816,5.871899999999997,0.8943000000000012,7
1988-08-01,75.7655,2.7839000000000027,1.5863999999999976,8
1988-09-01,67.5152,-8.25030000000001,-2.298500000000004,9
1988-10-01,63.2832,-4.231999999999992,-0.4957999999999956,10
1988-11-01,65.1078,1.8245999999999967,-0.26080000000000325,11
1988-12-01,73.8631,8.755300000000005,0.6419000000000139,12
1989-01-01,77.9188,4.055700000000002,-5.236900000000006,1
1989-02-01,76.6822,-1.23660000000001,2.471499999999992,2
1989-03-01,73.3523,-3.329899999999995,2.539500000000004,3
1989-04-01,65.1081,-8.244200000000006,-1.1898000000000053,4
1989-05-01,63.6892,-1.4188999999999936,0.4130000000000038,5
1989-06-01,68.4722,4.783000000000001,-0.9202000000000012,6
1989-07-01,74.0301,5.557900000000004,-0.31399999999999295,7
1989-08-01,75.0448,1.0146999999999906,-1.769200000000012,8
1989-09-01,69.3053,-5.7394999999999925,2.5108000000000175,9
1989-10-01,65.8735,-3.4317999999999955,0.8001999999999967,10
1989-11-01,69.0706,3.197099999999992,1.3724999999999952,11
1989-12-01,84.1949,15.124300000000005,6.369,12
1990-01-01,84.3598,0.16490000000000293,-3.8907999999999987,1
1990-02-01,77.1726,-7.187200000000004,-5.950599999999994,2
1990-03-01,73.1964,-3.9762000000000057,-0.6463000000000108,3
1990-04-01,67.2781,-5.918300000000002,2.3259000000000043,4
1990-05-01,65.8218,-1.4562999999999988,-0.03740000000000521,5
1990-06-01,71.4654,5.643600000000006,0.8606000000000051,6
1990-07-01,76.614,5.148600000000002,-0.4093000000000018,7
1990-08-01,77.1052,0.4911999999999921,-0.5234999999999985,8
1990-09-01,73.061,-4.044199999999989,1.6953000000000031,9
1990-10-01,67.4365,-5.624500000000012,-2.1927000000000163,10
1990-11-01,68.5665,1.1300000000000097,-2.067099999999982,11
1990-12-01,77.6839,9.11739999999999,-6.006900000000016,12
1991-01-01,86.0214,8.337500000000006,8.172600000000003,1
1991-02-01,77.5573,-8.464100000000002,-1.2768999999999977,2
1991-03-01,73.365,-4.192300000000003,-0.2160999999999973,3
1991-04-01,67.15,-6.214999999999989,-0.2966999999999871,4
1991-05-01,68.8162,1.6661999999999892,3.122499999999988,5
1991-06-01,74.8448,6.0286000000000115,0.3850000000000051,6
1991-07-01,80.0928,5.2479999999999905,0.09939999999998861,7
1991-08-01,79.1606,-0.9321999999999946,-1.4233999999999867,8
1991-09-01,73.5743,-5.5863000000000085,-1.5421000000000191,9
1991-10-01,68.7538,-4.820499999999996,0.8040000000000163,10
1991-11-01,72.5166,3.7627999999999986,2.632799999999989,11
1991-12-01,79.4894,6.9728000000000065,-2.1445999999999827,12
1992-01-01,85.2855,5.796099999999996,-2.54140000000001,1
1992-02-01,80.1643,-5.121200000000002,3.3429,2
1992-03-01,74.5275,-5.636799999999994,-1.4444999999999908,3
1992-04-01,69.6441,-4.883400000000009,1.3315999999999804,4
1992-05-01,67.1784,-2.4656999999999982,-4.1318999999999875,5
1992-06-01,71.2078,4.02940000000001,-1.9992000000000019,6
1992-07-01,77.5081,6.300299999999993,1.0523000000000025,7
1992-08-01,76.5374,-0.9706999999999937,-0.03849999999999909,8
1992-09-01,72.3541,-4.183300000000003,1.4030000000000058,9
1992-10-01,69.0286,-3.3255000000000052,1.4949999999999903,10
1992-11-01,73.4992,4.470600000000005,0.707800000000006,11
1992-12-01,84.5159,11.0167,4.043899999999994,12
1993-01-01,87.9464,3.430499999999995,-2.3656000000000006,1
1993-02-01,84.5561,-3.3902999999999963,1.7309000000000054,2
1993-03-01,79.4747,-5.081400000000002,0.5553999999999917,3
1993-04-01,71.0578,-8.416899999999998,-3.5334999999999894,4
1993-05-01,67.6762,-3.381600000000006,-0.9159000000000077,5
1993-06-01,74.3297,6.653500000000008,2.6240999999999985,6
1993-07-01,82.1048,7.775099999999995,1.4748000000000019,7
1993-08-01,82.0605,-0.04429999999999268,0.926400000000001,8
1993-09-01,74.6031,-7.457400000000007,-3.2741000000000042,9
1993-10-01,69.681,-4.9221,-1.5965999999999951,10
1993-11-01,74.4292,4.748199999999997,0.2775999999999925,11
1993-12-01,84.2284,9.799199999999999,-1.2175000000000011,12
1994-01-01,94.1386,9.910200000000003,6.479700000000008,1
1994-02-01,87.1607,-6.977899999999991,-3.587599999999995,2
1994-03-01,79.2456,-7.91510000000001,-2.8337000000000074,3
